-1.76	-2.87819	15.7505
-1.98364	-3.25181	15.0118
-2.23727	-3.70205	14.3402
-2.53023	-4.23923	13.741
-2.87203	-4.87601	13.2227
-3.27282	-5.62731	12.7975
-3.74372	-6.50986	12.4834
-4.29695	-7.54146	12.305
-4.94585	-8.73945	12.2968
-5.70457	-10.118	12.5055
-6.58725	-11.6834	12.9929
-7.60648	-13.4268	13.8392
-8.77055	-15.3126	15.1437
-10.079	-17.2615	17.022
-11.5155	-19.1292	19.5937
-13.0382	-20.6826	22.9544
-14.5671	-21.5847	27.1234
-15.9706	-21.4084	31.9654
-17.0582	-19.7136	37.0986
-17.5893	-16.2152	41.8456
-17.3144	-11.0202	45.3181
-16.0556	-4.80277	46.7173
-13.805	1.30365	45.768
-10.7833	6.18333	42.9671
-7.38998	9.28756	39.342
-4.05447	10.7781	35.871
-1.08795	11.2008	33.0839
1.36981	11.0874	31.0757
3.31334	10.7814	29.7221
4.80696	10.4517	28.8514
5.9359	10.1608	28.3175
6.78088	9.9199	28.0135
7.40868	9.71967	27.8647
7.87088	9.54532	27.8188
8.20577	9.38294	27.8377
8.4412	9.22191	27.8929
8.59735	9.05555	27.9622
8.68899	8.88094	28.028
8.72738	8.69846	28.0765
8.72159	8.51115	28.0973
8.6795	8.32394	28.0834
8.60839	8.14298	28.0306
8.51531	7.97485	27.9376
8.40722	7.82598	27.8058
8.29097	7.70213	27.6387
8.1732	7.608	27.4418
8.06016	7.54709	27.2219
7.95755	7.52158	26.9866
7.87035	7.53243	26.7444
7.80277	7.57942	26.5037
7.7581	7.66134	26.273
7.73875	7.77608	26.0605
7.74621	7.92074	25.8742
7.78112	8.09167	25.7213
7.84323	8.28445	25.6088
7.93147	8.49387	25.5425
8.04395	8.71382	25.5276
8.17793	8.9373	25.568
8.3298	9.15633	25.6661
8.49511	9.36201	25.8227
8.66849	9.5447	26.0361
8.84373	9.69429	26.3023
9.01384	9.80068	26.6142
9.17121	9.8545	26.9616
9.30787	9.84789	27.3312
9.41587	9.77543	27.7068
9.48778	9.63514	28.07
9.51726	9.42916	28.4012
9.49964	9.16421	28.6813
9.43255	8.85148	28.8928
9.31634	8.50604	29.0216
9.15428	8.14555	29.0587
8.95253	7.78881	29.0003
8.71979	7.45393	28.8482
8.46662	7.15693	28.6095
8.20468	6.91058	28.2956
7.94586	6.72386	27.9205
7.70146	6.60202	27.4999
7.48157	6.54701	27.0502
7.29466	6.55819	26.5871
7.14737	6.63316	26.1259
7.04453	6.76839	25.6808
6.9893	6.95978	25.2647
6.98339	7.20294	24.8901
7.0273	7.49322	24.5687
7.12049	7.82562	24.3115
7.26151	8.19438	24.1293
7.44809	8.59263	24.0325
7.677	9.01179	24.0307
7.94395	9.44099	24.1328
8.24336	9.86659	24.3457
8.56801	10.2717	24.6739
8.90875	10.6363	25.1181
9.25425	10.937	25.6736
9.59081	11.1489	26.3286
9.90242	11.2465	27.063
10.1712	11.2071	27.847
10.3784	11.0141	28.6416
10.5055	10.6607	29.4002
10.5366	10.1532	30.0721
10.4599	9.51351	30.6079
10.2706	8.77768	30.9657
9.97203	7.99294	31.1172
9.57621	7.21138	31.0517
9.10325	6.48267	30.7768
8.57913	5.84746	30.3156
8.0328	5.33319	29.7021
7.49288	4.95306	28.9748
6.98491	4.70792	28.1718
6.52951	4.58977	27.3269
6.14156	4.58586	26.4689
5.83042	4.68222	25.6205
5.60078	4.86604	24.8001
5.45383	5.12716	24.0225
5.3885	5.45848	23.3005
5.4025	5.85577	22.6461
5.49315	6.31714	22.071
5.65795	6.84218	21.5879
5.89479	7.43092	21.2108
6.20202	8.08272	20.9556
6.57816	8.79485	20.8406
7.0215	9.56087	20.8862
7.52937	10.3686	21.1149
8.09723	11.1981	21.5501
8.7174	12.0186	22.2143
9.37765	12.787	23.1249
10.0595	13.4456	24.2898
10.7367	13.9231	25.6995
11.374	14.1387	27.3186
11.9269	14.0109	29.0779
12.3437	13.4735	30.8692
12.5697	12.4957	32.5492
12.5549	11.1022	33.9545
12.2644	9.38497	34.9314
11.6885	7.49709	35.3704
10.8502	5.62418	35.2366
9.805	3.94133	34.5777
8.63227	2.57261	33.5065
7.42034	1.57049	32.1636
6.25037	0.921168	30.6813
5.18453	0.567562	29.1601
4.26113	0.435917	27.6638
3.49609	0.455853	26.2255
2.88804	0.570811	24.8587
2.4246	0.740839	23.5659
2.08784	0.941042	22.3449
1.85848	1.15836	21.1925
1.71846	1.38822	20.1053
1.65241	1.63179	19.0807
1.64829	1.89392	18.117
1.69742	2.18185	17.2132
1.7943	2.5044	16.3692
1.93632	2.8717	15.5861
2.1234	3.29501	14.866
2.35772	3.78688	14.2131
2.64355	4.36125	13.6337
2.98709	5.03359	13.1371
3.39639	5.82086	12.7372
3.88128	6.74121	12.4533
4.45327	7.81321	12.3124
5.12526	9.05417	12.3516
5.91104	10.4771	12.621
6.82426	12.0857	13.1864
7.87655	13.8658	14.1327
9.0744	15.773	15.5632
10.4141	17.7147	17.5958
11.8742	19.5274	20.347
13.4049	20.9543	23.8993
14.9148	21.6346	28.2425
16.2587	21.1296	33.1897
17.2329	19.0194	38.2904
17.5902	15.0924	42.8035
17.0906	9.58258	45.8302
15.589	3.29634	46.6614
13.1305	-2.58783	45.2005
9.98683	-7.05309	42.1102
